src_tgt,train_seed,f1_tgt,total_training_time,inference_time
cameras_watches,3000,0.7914190888404846,654.1051244735718,0.0153286457061767
watches_cameras,3000,0.869545578956604,687.9001457691193,0.0169072151184082
shoes_watches,3000,0.6758908629417419,696.5116267204285,0.0160987377166748
watches_shoes,3000,0.7342588305473328,707.6185703277588,0.0165662765502929
computers_shoes,3000,0.7038850784301758,772.9538233280182,0.0152955055236816
shoes_computers,3000,0.6448447704315186,699.2677428722382,0.0151641368865966
cameras_shoes,3000,0.7135144472122192,683.3982419967651,0.0151369571685791
shoes_cameras,3000,0.7620232105255127,700.3923354148865,0.0162277221679687
computers_cameras,3000,0.7949187755584717,802.32022356987,0.0177326202392578
cameras_computers,3000,0.7451494336128235,704.8638572692871,0.0168802738189697
computers_watches,1000,0.8181203007698059,844.3764448165894,0.0177879333496093
watches_computers,1000,0.7868882417678833,787.2965354919434,0.0170705318450927
cameras_watches,1000,0.7737094163894653,654.7852051258087,0.0158483982086181
watches_cameras,1000,0.8501905798912048,686.1321601867676,0.0163137912750244
shoes_watches,1000,0.6637502312660217,696.0426199436188,0.0161757469177246
watches_shoes,1000,0.7198495864868164,702.1235845088959,0.0160737037658691
computers_shoes,1000,0.7119547128677368,771.1114921569824,0.0168588161468505
shoes_computers,1000,0.6522712707519531,696.929262638092,0.0160510540008544
cameras_shoes,1000,0.708635151386261,645.4340877532959,0.0157837867736816
shoes_cameras,1000,0.7046782374382019,662.3104174137115,0.015045166015625
computers_cameras,1000,0.8017209768295288,756.415070772171,0.0160896778106689
cameras_computers,1000,0.7511762976646423,665.3300652503967,0.0152812004089355
computers_watches,42,0.8179082274436951,810.3582954406738,0.0154311656951904
watches_computers,42,0.7975323796272278,750.0550458431244,0.0161445140838623
cameras_watches,42,0.745634913444519,656.3019757270813,0.0153291225433349
watches_cameras,42,0.7611699104309082,693.3209640979767,0.0156660079956054
shoes_watches,42,0.6753619909286499,695.6786921024323,0.023707628250122
watches_shoes,42,0.6991602778434753,712.0084490776062,0.0161874294281005
computers_shoes,42,0.7311171293258667,775.316822052002,0.0152549743652343
shoes_computers,42,0.6816016435623169,704.8811888694763,0.0152454376220703
cameras_shoes,42,0.7259364724159241,646.9780852794647,0.0154707431793212
shoes_cameras,42,0.7233685255050659,665.2102909088135,0.0247437953948974
computers_cameras,42,0.8374434113502502,761.773913860321,0.0155870914459228
cameras_computers,42,0.736670196056366,666.3882613182068,0.0158209800720214
